Name,Price,24h Change,Market Cap,Timestamp
Bitcoin,121426.67,0.3,$2.42T,2025-08-13 21:42:28
Ethereum,4681.83,0.79,$564.62B,2025-08-13 21:42:28
XRP,3.25,0.11,$192.88B,2025-08-13 21:42:28
Tether,1.0,0.01,$165.04B,2025-08-13 21:42:28
BNB,843.3,0.42,$117.46B,2025-08-13 21:42:28
Solana,197.72,0.69,$106.7B,2025-08-13 21:42:28
USDC,0.9993,0.04,$66.28B,2025-08-13 21:42:28
Dogecoin,0.2413,0.13,$36.33B,2025-08-13 21:42:28
TRON,0.3594,0.53,$34.04B,2025-08-13 21:42:28
Cardano,0.8682,0.03,$30.92B,2025-08-13 21:42:28
Bitcoin,117727.92,0.02,$2.34T,2025-08-16 19:17:05
Ethereum,4400.85,0.16,$531.22B,2025-08-16 19:17:05
XRP,3.12,0.04,$185.39B,2025-08-16 19:17:05
Tether,1.0,0.02,$166.52B,2025-08-16 19:17:05
BNB,832.22,0.26,$115.92B,2025-08-16 19:17:05
Solana,188.14,0.88,$101.59B,2025-08-16 19:17:05
USDC,0.9999,0.01,$68.17B,2025-08-16 19:17:05
Dogecoin,0.2292,0.54,$34.52B,2025-08-16 19:17:05
TRON,0.3504,0.06,$33.18B,2025-08-16 19:17:05
Cardano,0.9139,0.4,$32.54B,2025-08-16 19:17:05
